Segment,Year,Revenue_USD,Source
Area Imagers,2021,"107,000,000",
Area Imagers,2022,"147,758,951",
Area Imagers,2023,"204,043,996",
Area Imagers,2024,"281,769,409",
Area Imagers,2025,"389,102,358",
Area Imagers,2026,"537,321,086",
Area Imagers,2027,"742,000,000",
Area Imagers,2028,"1,024,646,183",
Area Cameras,2021,"317,000,000",LR - SWIR Imaging Optica Indust…
Area Cameras,2022,"481,066,679",LR - SWIR Imaging Optica Indust…
Area Cameras,2023,"730,047,791",LR - SWIR Imaging Optica Indust…
Area Cameras,2024,"1,107,891,691",LR - SWIR Imaging Optica Indust…
Area Cameras,2025,"1,681,292,671",LR - SWIR Imaging Optica Indust…
Area Cameras,2026,"2,551,463,349",LR - SWIR Imaging Optica Indust…
Area Cameras,2027,"3,872,000,000",LR - SWIR Imaging Optica Indust…
Area Cameras,2028,"5,875,994,262",LR - SWIR Imaging Optica Indust…
Line Detectors,2021,"131,000,000",LR - SWIR Imaging Optica Indust…
Line Detectors,2022,"141,265,881",LR - SWIR Imaging Optica Indust…
Line Detectors,2023,"152,336,254",LR - SWIR Imaging Optica Indust…
Line Detectors,2024,"164,274,161",LR - SWIR Imaging Optica Indust…
Line Detectors,2025,"177,147,589",LR - SWIR Imaging Optica Indust…
Line Detectors,2026,"191,029,849",LR - SWIR Imaging Optica Indust…
Line Detectors,2027,"206,000,000",LR - SWIR Imaging Optica Indust…
Line Detectors,2028,"222,143,294",LR - SWIR Imaging Optica Indust…
3D Sensing Modules,2021,0,
3D Sensing Modules,2022,"200,000,000",
3D Sensing Modules,2023,"348,198,459",
3D Sensing Modules,2024,"606,210,834",
3D Sensing Modules,2025,"1,055,408,390",
3D Sensing Modules,2026,"1,837,457,874",
3D Sensing Modules,2027,"3,199,000,000",
3D Sensing Modules,2028,"5,569,434,349",
